Date,Open,High,Low,Close,Adj Close,Volume
09-08-2020,149.4499969,149.6000061,141.1999969,142.3000031,141.421463,76286731
07-08-2020,109.5,110.849998,104.199997,105.349998,105.022675,55887256
06-08-2020,114,119.1500015,113.3499985,115.4499969,114.7372208,136943010
05-08-2020,84.5,84.949997,80.550003,81.050003,80.79818,35362751
04-08-2020,66.5,71.599998,65.400002,67.599998,67.389961,82179303
01-08-2020,180.1999969,184.1999969,180.1999969,182.5500031,181.4229584,21862695
31-07-2020,104,105.4000015,102.3000031,104.6500015,104.0039063,33809018
30-07-2020,106.4000015,106.75,102.8499985,103.6500015,103.0100784,33378340
29-07-2020,108.099998,108.75,104.849998,105.75,105.421432,44561639
28-07-2020,102.300003,107.199997,102,106.449997,106.119255,64271161
27-07-2020,104,104.5,101.300003,101.699997,101.38401,29644533
24-07-2020,104.6999969,105.5,102.6999969,103.75,103.1094589,39363520
23-07-2020,105.4499969,106.4499969,104.6999969,106.0500031,105.3952637,30722413
22-07-2020,108.5,109.75,104.25,105.1500015,104.5008163,50735592
21-07-2020,106,109.699997,105.5,108.449997,108.113045,66008143
20-07-2020,106.3499985,106.3499985,103.8499985,105.0500031,104.4014359,39786731
17-07-2020,103.650002,106.949997,103.300003,106.400002,106.069412,42080157
16-07-2020,103.9499969,103.9499969,100.5999985,102.9499969,102.3143921,44333785
15-07-2020,106.800003,106.800003,102.5,103.199997,102.879356,49687046
14-07-2020,106.900002,107.550003,104.099998,105.150002,104.823296,46924623
13-07-2020,108.8499985,112.0999985,106.8499985,108,107.3332214,81893001
12-07-2020,184.4499969,186.4499969,182.6999969,183.5500031,182.4167786,29802472
10-07-2020,144.25,144.5,139.8000031,141,140.1294708,68273641
09-07-2020,150,152,148,149.399994,148.935806,82617101
08-07-2020,117,119.6999969,116,119.0999985,118.3646851,56489390
07-07-2020,109.8000031,112.5999985,108.0500031,109.0500031,108.3767395,85835716
05-07-2020,82.900002,84.650002,82.099998,82.5,82.243675,31159970
04-07-2020,68.55000305,69.30000305,66.90000153,67.25,66.83480835,42066469
02-07-2020,177.3999939,178.1499939,173,173.6000061,172.5282135,45195760
01-07-2020,187,189.3999939,182.3000031,184.6999969,183.5596771,34995035
30-06-2020,101.75,102.3000031,97.30000305,98.25,97.64340973,50764363
29-06-2020,101.4000015,101.4000015,98.05000305,99.44999695,98.83600616,43274006
26-06-2020,105.400002,106.050003,100.349998,101.400002,101.084953,56327855
25-06-2020,103.8499985,106.3000031,101.6500015,103.8000031,103.1591492,63198285
24-06-2020,105.25,110.800003,104.199997,104.800003,104.474388,125457492
23-06-2020,103,106,101.9000015,104.4000015,103.7554474,68638552
22-06-2020,102.3499985,104.9000015,101,102.6500015,102.0162582,68545834
19-06-2020,96.5,103.9000015,95.59999847,102.5,101.8671799,135462757
18-06-2020,95,97.19999695,94.15000153,96.34999847,95.75514221,58964344
17-06-2020,93,96.400002,91.800003,95.400002,95.103592,110830038
16-06-2020,102,103.5,92,94.75,94.455612,215476711
15-06-2020,104.6500015,104.6500015,100.0500031,100.5,99.87952423,69318356
11-06-2020,137.6499939,142.3000031,137.6499939,139,138.1418304,67966815
10-06-2020,138,145.800003,136,144.75,144.300262,161987221
08-06-2020,116.199997,117.699997,115.5,116.800003,116.437103,60092530
07-06-2020,105,109.900002,104.5,109,108.661339,91970198
05-06-2020,81.55000305,83.94999695,80.34999847,83.19999695,82.68632507,53739248
03-06-2020,115,117.300003,112.800003,114.199997,113.845177,83971462
02-06-2020,182,183.3999939,175.75,178.8500061,177.7458038,61821140
01-06-2020,191,191,185.0500031,185.6499939,184.5038147,28621212
29-05-2020,85.550003,87.5,84.650002,87,86.729691,80813537
28-05-2020,86,88.150002,84.550003,87,86.729691,96179680
